rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,88.24%
2,Daniil Medvedev,Russian Federation,RUS,86.21%
3,Alexander Zverev,Germany,GER,81.63%
4,Jannik Sinner,Italy,ITA,73.58%
5,Stefanos Tsitsipas,Greece,GRE,70.45%
6,Ilya Ivashka,Belarus,BLR,70.37%
7,Matteo Berrettini,Italy,ITA,69.57%
8,Andrey Rublev,Russian Federation,RUS,69.23%
9,Casper Ruud,Norway,NOR,68.75%
9,Jenson Brooksby,United States,USA,68.75%
11,Aslan Karatsev,Russian Federation,RUS,66.67%
11,John Isner,United States,USA,66.67%
13,Hubert Hurkacz,Poland,POL,65.22%
14,Diego Sebastian Schwartzman,Argentina,ARG,64.86%
15,Cameron Norrie,United Kingdom,GBR,64.00%
16,Taylor Harry Fritz,United States,USA,63.64%
17,Felix Auger Aliassime,Canada,CAN,63.16%
18,Brandon Nakashima,United States,USA,62.50%
18,Grigor Dimitrov,Bulgaria,BUL,62.50%
18,Karen Khachanov,Russian Federation,RUS,62.50%
21,Lloyd George Muirhead Harris,South Africa,RSA,62.16%
22,Botic Van De Zandschulp,Netherlands,NED,61.90%
22,Frances Tiafoe,United States,USA,61.90%
24,Pablo Carreno Busta,Spain,ESP,61.29%
25,Jeremy Chardy,France,FRA,60.87%
26,Kei Nishikori,Japan,JPN,60.71%
27,Carlos Alcaraz Garfia,Spain,ESP,60.00%
27,Corentin Moutet,France,FRA,60.00%
27,Gael Monfils,France,FRA,60.00%
30,Sebastian Korda,United States,USA,59.26%
31,Peter Gojowczyk,Germany,GER,58.82%
32,Milos Raonic,Canada,CAN,58.33%
33,Nikoloz Basilashvili,Georgia,GEO,56.76%
34,Alexei Popyrin,Australia,AUS,56.67%
35,Emil Ruusuvuori,Finland,FIN,55.56%
36,Marcos Giron,United States,USA,54.84%
37,Alexander Bublik,Kazakhstan,KAZ,54.55%
37,Aljaz Bedene,Slovenia,SLO,54.55%
37,James Duckworth,Australia,AUS,54.55%
37,Matthew Ebden,Australia,AUS,54.55%
37,Roberto Bautista Agut,Spain,ESP,54.55%
42,Marin Cilic,Croatia,CRO,54.29%
43,Denis Shapovalov,Canada,CAN,53.57%
44,Thiago Monteiro,Brazil,BRA,53.33%
45,Marton Fucsovics,Hungary,HUN,52.94%
45,Tommy Paul,United States,USA,52.94%
47,Andy Murray,United Kingdom,GBR,50.00%
47,Daniel Evans,United Kingdom,GBR,50.00%
47,David Goffin,Belgium,BEL,50.00%
47,Mackenzie Mcdonald,United States,USA,50.00%
