rank,name,country_name,country_id,value
1,Carlos Alcaraz Garfia,Spain,ESP,86.67%
2,Rafael Nadal,Spain,ESP,83.33%
3,Stefanos Tsitsipas,Greece,GRE,80.95%
4,Jannik Sinner,Italy,ITA,78.95%
5,Casper Ruud,Norway,NOR,78.13%
6,Novak Djokovic,Serbia,SRB,77.78%
7,Alexander Zverev,Germany,GER,75.00%
8,David Goffin,Belgium,BEL,70.59%
9,Alex Molcan,Slovakia,SVK,70.00%
9,Andrey Rublev,Russian Federation,RUS,70.00%
11,Hubert Hurkacz,Poland,POL,69.23%
12,Cameron Norrie,United Kingdom,GBR,68.75%
13,Diego Sebastian Schwartzman,Argentina,ARG,66.67%
13,Francisco Cerundolo,Argentina,ARG,66.67%
13,Grigor Dimitrov,Bulgaria,BUL,66.67%
13,Lorenzo Musetti,Italy,ITA,66.67%
17,Marin Cilic,Croatia,CRO,64.29%
18,John Isner,United States,USA,63.64%
19,Alejandro Tabilo,Chile,CHI,62.50%
19,Sebastian Baez,Argentina,ARG,62.50%
21,Miomir Kecmanovic,Serbia,SRB,61.90%
22,Felix Auger Aliassime,Canada,CAN,61.11%
23,Alex De Minaur,Australia,AUS,60.00%
24,Botic Van De Zandschulp,Netherlands,NED,58.82%
25,Holger Vitus Nodskov Rune,Denmark,DEN,58.33%
26,Alejandro Davidovich Fokina,Spain,ESP,57.89%
27,Albert Ramos,Spain,ESP,57.58%
28,Frances Tiafoe,United States,USA,57.14%
28,Sebastian Korda,United States,USA,57.14%
30,Karen Khachanov,Russian Federation,RUS,56.25%
30,Richard Gasquet,France,FRA,56.25%
32,Pablo Carreno Busta,Spain,ESP,55.00%
33,Oscar Otte,Germany,GER,54.55%
33,Reilly Opelka,United States,USA,54.55%
33,Yannick Hanfmann,Germany,GER,54.55%
36,Pedro Martinez Portero,Spain,ESP,52.17%
37,Fabio Fognini,Italy,ITA,50.00%
37,Federico Coria,Argentina,ARG,50.00%
37,Filip Krajinovic,Serbia,SRB,50.00%
37,Jaume Munar,Spain,ESP,50.00%
37,Laslo Djere,Serbia,SRB,50.00%
42,Bernabe Zapata Miralles,Spain,ESP,46.67%
42,Emil Ruusuvuori,Finland,FIN,46.67%
42,Joao Sousa,Portugal,POR,46.67%
45,Thiago Monteiro,Brazil,BRA,46.15%
46,Christian Garin,Chile,CHI,45.00%
47,Dominic Thiem,Austria,AUT,43.75%
47,Roberto Carballes Baena,Spain,ESP,43.75%
49,Lorenzo Sonego,Italy,ITA,42.11%
50,Ilya Ivashka,Belarus,BLR,41.67%
