,name,country_name,clay_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
0,Carlos Alcaraz,Spain,100.00%,4.80%,65.40%,2.50%,69.90%,56.20%,82.80%,6.2
1,Carlos Alcaraz,Spain,100.00%,4.80%,65.40%,2.50%,69.90%,56.20%,82.80%,6.2
2,Novak Djokovic,Serbia,85.71%,5.90%,65.50%,3.10%,71.60%,53.20%,81.00%,6.4
3,Novak Djokovic,Serbia,85.71%,5.90%,65.50%,3.10%,71.60%,53.20%,81.00%,6.4
4,Alexander Bublik,Kazakhstan,81.82%,11.30%,62.00%,9.90%,73.60%,45.50%,76.00%,6.4
5,Alexander Bublik,Kazakhstan,81.82%,11.30%,62.00%,9.90%,73.60%,45.50%,76.00%,6.4
6,Andrey Rublev,Russian Federation,80.00%,7.10%,65.30%,2.50%,73.50%,53.40%,83.90%,6.5
7,Andrey Rublev,Russian Federation,80.00%,7.10%,65.30%,2.50%,73.50%,53.40%,83.90%,6.5
8,Frances Tiafoe,United States,77.78%,8.70%,65.00%,2.30%,74.90%,50.70%,83.50%,6.3
9,Frances Tiafoe,United States,77.78%,8.70%,65.00%,2.30%,74.90%,50.70%,83.50%,6.3
10,Holger Rune,Denmark,77.78%,3.70%,64.10%,5.10%,71.10%,53.40%,81.50%,6.4
11,Holger Rune,Denmark,77.78%,3.70%,64.10%,5.10%,71.10%,53.40%,81.50%,6.4
12,Tallon Griekspoor,Netherlands,77.78%,5.40%,62.90%,5.50%,73.40%,46.20%,76.50%,6.5
13,Tallon Griekspoor,Netherlands,77.78%,5.40%,62.90%,5.50%,73.40%,46.20%,76.50%,6.5
14,Adrian Mannarino,France,75.00%,2.80%,53.20%,3.30%,63.40%,40.10%,54.80%,6.9
15,Adrian Mannarino,France,75.00%,2.80%,53.20%,3.30%,63.40%,40.10%,54.80%,6.9
16,Christopher Eubanks,United States,75.00%,9.40%,63.10%,5.20%,72.60%,43.40%,74.40%,6.0
17,Christopher Eubanks,United States,75.00%,9.40%,63.10%,5.20%,72.60%,43.40%,74.40%,6.0
18,Francisco Cerundolo,Argentina,75.00%,3.10%,61.40%,4.40%,67.30%,49.70%,77.00%,6.7
19,Francisco Cerundolo,Argentina,75.00%,3.10%,61.40%,4.40%,67.30%,49.70%,77.00%,6.7
20,Jannik Sinner,Italy,72.73%,3.60%,65.20%,2.30%,71.10%,57.00%,80.90%,6.3
21,Jannik Sinner,Italy,72.73%,3.60%,65.20%,2.30%,71.10%,57.00%,80.90%,6.3
22,Alexander Zverev,Germany,71.43%,8.20%,64.90%,5.10%,73.80%,46.00%,82.00%,6.3
23,Alexander Zverev,Germany,71.43%,8.20%,64.90%,5.10%,73.80%,46.00%,82.00%,6.3
24,Grigor Dimitrov,Bulgaria,71.43%,7.90%,63.50%,4.70%,74.30%,48.50%,78.70%,6.4
25,Grigor Dimitrov,Bulgaria,71.43%,7.90%,63.50%,4.70%,74.30%,48.50%,78.70%,6.4
26,Jan Lennard Struff,Germany,71.43%,8.70%,64.70%,4.10%,74.10%,52.20%,83.30%,6.6
