,name,country_name,clay_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
0,Carlos Alcaraz,Spain,89.29%,45.30%,2.90%,39.30%,54.80%,39.60%,3.0
1,Holger Rune,Denmark,80.00%,39.80%,4.90%,32.90%,51.10%,27.10%,2.6
2,Novak Djokovic,Serbia,80.00%,44.50%,4.20%,39.80%,51.90%,35.30%,3.1
3,Andrey Rublev,Russian Federation,79.17%,41.80%,4.80%,33.70%,55.60%,30.30%,2.8
4,Stefanos Tsitsipas,Greece,77.27%,39.70%,4.30%,33.00%,52.20%,27.80%,2.5
5,Daniil Medvedev,Russian Federation,76.92%,42.20%,2.70%,35.80%,52.20%,33.30%,2.7
6,Alexander Zverev,Germany,74.07%,41.80%,4.10%,32.80%,56.60%,31.60%,2.7
7,Casper Ruud,Norway,73.33%,39.60%,5.70%,32.60%,51.90%,26.70%,2.6
8,Jannik Sinner,Italy,72.73%,44.80%,4.60%,36.80%,57.50%,37.90%,3.0
9,Nicolas Jarry,Chile,72.00%,37.20%,5.30%,30.70%,49.50%,21.10%,2.4
10,Cameron Norrie,United Kingdom,69.57%,40.10%,5.60%,32.10%,53.70%,27.30%,2.7
11,Arthur Fils,France,66.67%,40.50%,4.90%,35.50%,50.00%,26.40%,2.7
12,Frances Tiafoe,United States,66.67%,38.60%,9.80%,31.30%,52.50%,23.90%,2.6
13,Grigor Dimitrov,Bulgaria,66.67%,39.80%,6.10%,30.30%,55.70%,27.10%,2.6
14,Karen Khachanov,Russian Federation,66.67%,38.90%,5.60%,32.10%,49.40%,22.20%,2.7
15,Alexei Popyrin,Australia,64.71%,36.20%,4.20%,29.70%,46.90%,20.50%,2.3
16,Taylor Fritz,United States,64.71%,40.30%,4.10%,32.80%,53.00%,28.20%,2.7
17,Borna Coric,Croatia,64.29%,36.50%,4.10%,31.00%,46.20%,20.60%,2.3
18,Jan Lennard Struff,Germany,64.29%,36.90%,7.00%,28.50%,50.50%,23.60%,2.4
19,Aslan Karatsev,Russian Federation,63.64%,39.50%,6.60%,31.50%,51.50%,25.70%,2.5
20,Sebastian Baez,Argentina,61.29%,42.10%,3.40%,34.10%,54.90%,30.10%,2.9
21,Tomas Martin Etcheverry,Argentina,61.29%,40.20%,3.90%,33.50%,52.40%,27.60%,2.7
22,Francisco Cerundolo,Argentina,60.00%,41.50%,2.90%,36.00%,51.20%,32.20%,2.8
23,Matteo Arnaldi,Italy,60.00%,39.30%,3.60%,30.50%,53.30%,24.90%,2.6
24,Yannick Hanfmann,Germany,60.00%,41.60%,5.30%,35.00%,52.40%,29.10%,2.8
25,Laslo Djere,Serbia,59.26%,36.60%,4.50%,29.80%,47.60%,20.80%,2.3
26,Lorenzo Musetti,Italy,59.26%,41.90%,2.90%,35.60%,52.70%,31.60%,2.7
27,Lorenzo Sonego,Italy,56.25%,36.00%,4.10%,27.40%,48.10%,20.70%,2.2
28,Dusan Lajovic,Serbia,55.56%,40.40%,4.70%,32.50%,53.90%,26.40%,2.7
29,Alejandro Davidovich Fokina,Spain,52.94%,39.80%,3.70%,31.70%,53.30%,25.40%,2.7
30,Hubert Hurkacz,Poland,50.00%,35.10%,4.00%,26.90%,47.20%,16.00%,2.4
31,Jiri Lehecka,Czech Republic,50.00%,38.30%,4.90%,31.60%,48.60%,25.70%,2.4
32,Sebastian Ofner,Austria,50.00%,41.50%,4.20%,34.30%,53.60%,30.30%,2.7
33,Daniel Evans,United Kingdom,45.45%,37.60%,4.90%,31.30%,51.00%,22.80%,2.4
