,name,country_name,clay_Win%,Ace%,SPW,DF%,1st%,2nd%,Hld%,Pts/SG
0,Carlos Alcaraz,Spain,89.29%,4.80%,65.40%,2.50%,69.90%,56.20%,82.80%,6.2
1,Holger Rune,Denmark,80.00%,3.70%,64.10%,5.10%,71.10%,53.40%,81.50%,6.4
2,Novak Djokovic,Serbia,80.00%,5.90%,65.50%,3.10%,71.60%,53.20%,81.00%,6.4
3,Andrey Rublev,Russian Federation,79.17%,7.10%,65.30%,2.50%,73.50%,53.40%,83.90%,6.5
4,Stefanos Tsitsipas,Greece,77.27%,5.50%,68.10%,3.10%,77.00%,52.30%,84.80%,5.9
5,Daniil Medvedev,Russian Federation,76.92%,6.00%,62.90%,6.10%,72.10%,48.20%,79.10%,6.5
6,Alexander Zverev,Germany,74.07%,8.20%,64.90%,5.10%,73.80%,46.00%,82.00%,6.3
7,Casper Ruud,Norway,73.33%,4.80%,65.00%,3.30%,70.30%,55.90%,83.70%,6.4
8,Jannik Sinner,Italy,72.73%,3.60%,65.20%,2.30%,71.10%,57.00%,80.90%,6.3
9,Nicolas Jarry,Chile,72.00%,10.00%,68.10%,3.00%,76.10%,54.00%,86.50%,6.2
10,Cameron Norrie,United Kingdom,69.57%,4.70%,63.80%,2.50%,68.80%,54.30%,79.20%,6.3
11,Arthur Fils,France,66.67%,5.00%,62.30%,4.10%,70.00%,50.60%,77.40%,6.4
12,Frances Tiafoe,United States,66.67%,8.70%,65.00%,2.30%,74.90%,50.70%,83.50%,6.3
13,Grigor Dimitrov,Bulgaria,66.67%,7.90%,63.50%,4.70%,74.30%,48.50%,78.70%,6.4
14,Karen Khachanov,Russian Federation,66.67%,7.20%,65.60%,2.10%,69.70%,58.70%,83.60%,6.3
15,Alexei Popyrin,Australia,64.71%,8.70%,66.30%,3.10%,75.50%,52.70%,85.00%,6.4
16,Taylor Fritz,United States,64.71%,9.80%,68.10%,2.70%,76.10%,56.60%,81.70%,5.9
17,Borna Coric,Croatia,64.29%,4.90%,64.10%,2.30%,74.50%,50.30%,80.90%,6.5
18,Jan Lennard Struff,Germany,64.29%,8.70%,64.70%,4.10%,74.10%,52.20%,83.30%,6.6
19,Aslan Karatsev,Russian Federation,63.64%,5.10%,66.50%,3.60%,74.90%,51.90%,84.50%,6.4
20,Sebastian Baez,Argentina,61.29%,2.40%,62.60%,2.20%,65.20%,56.50%,75.80%,6.4
21,Tomas Martin Etcheverry,Argentina,61.29%,7.80%,65.10%,2.30%,71.90%,53.50%,82.40%,6.4
22,Francisco Cerundolo,Argentina,60.00%,3.10%,61.40%,4.40%,67.30%,49.70%,77.00%,6.7
23,Matteo Arnaldi,Italy,60.00%,5.40%,61.80%,3.40%,67.20%,54.50%,80.00%,6.8
24,Yannick Hanfmann,Germany,60.00%,5.40%,63.60%,2.10%,68.20%,54.10%,80.00%,6.4
25,Laslo Djere,Serbia,59.26%,6.20%,64.60%,3.90%,71.50%,54.40%,83.60%,6.5
26,Lorenzo Musetti,Italy,59.26%,3.70%,62.40%,2.40%,68.30%,52.10%,77.20%,6.1
27,Lorenzo Sonego,Italy,56.25%,4.80%,64.50%,2.70%,71.30%,51.20%,81.10%,6.3
28,Dusan Lajovic,Serbia,55.56%,3.50%,61.30%,1.80%,67.50%,48.70%,75.90%,6.5
29,Alejandro Davidovich Fokina,Spain,52.94%,2.30%,61.10%,1.90%,66.10%,50.00%,77.90%,6.9
30,Hubert Hurkacz,Poland,50.00%,11.80%,65.40%,3.40%,79.00%,47.30%,82.00%,6.4
31,Jiri Lehecka,Czech Republic,50.00%,3.70%,60.60%,2.80%,67.50%,47.60%,71.20%,6.2
32,Sebastian Ofner,Austria,50.00%,5.90%,61.30%,4.50%,71.90%,48.30%,74.20%,6.4
33,Daniel Evans,United Kingdom,45.45%,3.80%,61.20%,3.70%,66.70%,52.10%,76.80%,6.5
