,name,country_name,grass_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
0,Carlos Alcaraz,Spain,89.29%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
1,Holger Rune,Denmark,80.00%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
2,Novak Djokovic,Serbia,80.00%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
3,Andrey Rublev,Russian Federation,79.17%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
4,Stefanos Tsitsipas,Greece,77.27%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
5,Daniil Medvedev,Russian Federation,76.92%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
6,Alexander Zverev,Germany,74.07%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
7,Casper Ruud,Norway,73.33%,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,0.8
8,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
9,Nicolas Jarry,Chile,72.00%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
10,Cameron Norrie,United Kingdom,69.57%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
11,Arthur Fils,France,66.67%,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,-0.1
12,Frances Tiafoe,United States,66.67%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
13,Grigor Dimitrov,Bulgaria,66.67%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
14,Karen Khachanov,Russian Federation,66.67%,4.3,4.6,4.0,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,3.6
15,Taylor Fritz,United States,64.71%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
16,Borna Coric,Croatia,64.29%,4.1,4.5,3.7,47.70%,45.50%,40.50%,51.00%,51.00%,12.20%,1.2,-4.9
