,name,country_name,hard_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
0,Novak Djokovic,Serbia,96.43%,41.80%,9.40%,32.50%,58.10%,30.80%,2.9
1,Daniil Medvedev,Russian Federation,83.93%,41.00%,3.90%,32.70%,55.30%,31.40%,2.7
2,Jannik Sinner,Italy,83.33%,40.90%,6.90%,32.50%,54.70%,29.10%,2.7
3,Carlos Alcaraz,Spain,81.25%,41.20%,5.30%,32.80%,54.00%,27.90%,2.9
4,Taylor Fritz,United States,74.51%,36.70%,7.90%,26.40%,53.70%,21.20%,2.4
5,Hubert Hurkacz,Poland,70.45%,35.00%,7.00%,28.10%,46.30%,17.30%,2.3
6,Sebastian Korda,United States,68.75%,36.30%,8.30%,26.50%,51.30%,21.40%,2.3
7,Stefanos Tsitsipas,Greece,68.75%,33.50%,8.50%,24.40%,49.20%,17.90%,2.0
8,Tommy Paul,United States,68.18%,39.10%,6.40%,30.30%,52.90%,25.50%,2.6
9,Alex De Minaur,Australia,66.67%,41.60%,5.70%,33.90%,53.50%,30.70%,2.8
10,Frances Tiafoe,United States,66.67%,36.80%,11.00%,27.90%,49.60%,23.30%,2.4
11,Andrey Rublev,Russian Federation,65.00%,37.20%,9.70%,28.10%,52.20%,22.60%,2.5
12,Karen Khachanov,Russian Federation,64.52%,38.60%,9.50%,30.00%,52.30%,24.80%,2.5
13,Nicolas Jarry,Chile,63.16%,33.40%,7.10%,26.80%,45.70%,15.90%,2.1
14,Ugo Humbert,France,62.50%,36.60%,6.70%,28.00%,50.60%,22.40%,2.3
15,Ben Shelton,United States,61.76%,32.60%,7.20%,25.90%,44.40%,16.50%,1.9
16,Grigor Dimitrov,Bulgaria,61.76%,36.80%,8.10%,28.90%,49.90%,21.40%,2.4
17,Alexander Zverev,Germany,61.54%,36.70%,6.00%,28.70%,49.60%,20.20%,2.4
18,Adrian Mannarino,France,60.53%,37.70%,10.10%,28.40%,52.40%,24.60%,2.4
19,Mackenzie Mcdonald,United States,60.00%,39.20%,6.70%,30.40%,54.10%,25.70%,2.6
20,Tallon Griekspoor,Netherlands,60.00%,33.00%,10.00%,25.90%,44.80%,13.60%,2.1
21,Alejandro Davidovich Fokina,Spain,59.38%,40.00%,8.60%,31.30%,53.30%,28.40%,2.6
22,Felix Auger Aliassime,Canada,58.82%,34.60%,6.10%,28.00%,45.50%,16.80%,2.3
23,Andy Murray,United Kingdom,56.00%,36.40%,9.10%,28.70%,50.90%,18.70%,2.5
24,Jiri Lehecka,Czech Republic,54.55%,35.00%,7.70%,27.40%,47.80%,18.30%,2.2
25,Laslo Djere,Serbia,54.55%,36.70%,6.70%,26.60%,52.70%,22.90%,2.3
26,Cameron Norrie,United Kingdom,53.57%,37.60%,8.00%,30.50%,49.30%,24.20%,2.4
27,Arthur Fils,France,53.33%,35.30%,8.20%,25.00%,51.70%,20.20%,2.2
28,Holger Rune,Denmark,53.33%,35.70%,7.10%,27.50%,48.90%,20.60%,2.3
29,Matteo Arnaldi,Italy,53.33%,37.00%,7.30%,28.80%,50.30%,19.90%,2.4
30,Aslan Karatsev,Russian Federation,52.00%,34.80%,8.90%,26.80%,48.80%,18.60%,2.2
31,Borna Coric,Croatia,50.00%,34.50%,9.50%,27.60%,46.60%,16.90%,2.2
32,Casper Ruud,Norway,50.00%,35.20%,10.40%,26.10%,50.10%,18.70%,2.3
33,Sebastian Baez,Argentina,50.00%,37.20%,7.70%,28.30%,50.80%,23.80%,2.3
34,Sebastian Ofner,Austria,50.00%,35.20%,6.60%,26.70%,50.20%,15.60%,2.3
35,Yoshihito Nishioka,Japan,48.28%,35.30%,13.30%,25.70%,51.20%,20.30%,2.2
36,Francisco Cerundolo,Argentina,47.62%,37.20%,5.40%,28.90%,51.90%,22.60%,2.4
37,Lorenzo Musetti,Italy,47.62%,37.00%,7.70%,29.20%,50.20%,22.10%,2.4
38,Dusan Lajovic,Serbia,46.67%,33.90%,10.50%,25.30%,48.20%,16.20%,2.1
39,Lorenzo Sonego,Italy,46.67%,34.50%,3.70%,27.50%,47.20%,17.90%,2.1
40,Alexei Popyrin,Australia,45.45%,34.00%,7.00%,26.00%,47.30%,15.40%,2.2
41,Roman Safiullin,Russian Federation,45.00%,36.70%,9.00%,28.60%,49.90%,21.80%,2.3
42,Christopher Eubanks,United States,44.00%,31.50%,8.70%,23.80%,45.00%,12.60%,1.9
43,Aleksandar Vukic,Australia,40.91%,34.60%,7.70%,28.20%,45.70%,18.20%,2.2
44,Tomas Martin Etcheverry,Argentina,40.00%,36.10%,7.60%,27.90%,48.40%,17.90%,2.4
45,Daniel Evans,United Kingdom,39.29%,37.40%,9.80%,30.50%,48.60%,22.10%,2.4
46,Max Purcell,Australia,38.89%,37.50%,8.30%,29.00%,49.80%,24.30%,2.4
47,Jan Lennard Struff,Germany,36.36%,36.80%,9.70%,28.00%,50.80%,22.00%,2.4
48,Alexander Bublik,Kazakhstan,20.00%,32.60%,8.90%,24.50%,46.40%,14.60%,2.0
