,name,country_name,grass_Win%,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,BHP/Match
0,Carlos Alcaraz,Spain,89.29%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
1,Carlos Alcaraz,Spain,89.29%,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,2.2
2,Holger Rune,Denmark,80.00%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
3,Holger Rune,Denmark,80.00%,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10.0,0.5
4,Novak Djokovic,Serbia,80.00%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
5,Novak Djokovic,Serbia,80.00%,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,5.1
6,Andrey Rublev,Russian Federation,79.17%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
7,Andrey Rublev,Russian Federation,79.17%,4.0,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,1.2
8,Stefanos Tsitsipas,Greece,77.27%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
9,Stefanos Tsitsipas,Greece,77.27%,3.7,3.5,4.0,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,-3.5
10,Daniil Medvedev,Russian Federation,76.92%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
11,Daniil Medvedev,Russian Federation,76.92%,5.0,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9.0,6.0
12,Alexander Zverev,Germany,74.07%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
13,Alexander Zverev,Germany,74.07%,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,0.8
14,Casper Ruud,Norway,73.33%,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,0.8
15,Casper Ruud,Norway,73.33%,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,0.8
16,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
17,Jannik Sinner,Italy,72.73%,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,1.2
18,Nicolas Jarry,Chile,72.00%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
19,Nicolas Jarry,Chile,72.00%,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,-0.4
20,Cameron Norrie,United Kingdom,69.57%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
21,Cameron Norrie,United Kingdom,69.57%,4.3,4.4,4.2,46.50%,42.40%,52.20%,54.30%,53.90%,7.10%,4.8,-1.8
22,Arthur Fils,France,66.67%,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,-0.1
23,Arthur Fils,France,66.67%,3.8,3.9,3.7,51.10%,49.60%,56.10%,38.20%,49.60%,11.50%,8.2,-0.1
24,Frances Tiafoe,United States,66.67%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
25,Frances Tiafoe,United States,66.67%,3.9,4.0,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,2.4
26,Grigor Dimitrov,Bulgaria,66.67%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
27,Grigor Dimitrov,Bulgaria,66.67%,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,-2.4
28,Karen Khachanov,Russian Federation,66.67%,4.3,4.6,4.0,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,3.6
29,Karen Khachanov,Russian Federation,66.67%,4.3,4.6,4.0,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,3.6
30,Taylor Fritz,United States,64.71%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
31,Taylor Fritz,United States,64.71%,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,1.8
32,Borna Coric,Croatia,64.29%,4.1,4.5,3.7,47.70%,45.50%,40.50%,51.00%,51.00%,12.20%,1.2,-4.9
33,Borna Coric,Croatia,64.29%,4.1,4.5,3.7,47.70%,45.50%,40.50%,51.00%,51.00%,12.20%,1.2,-4.9
34,Jan Lennard Struff,Germany,64.29%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
35,Jan Lennard Struff,Germany,64.29%,3.0,3.0,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,-0.5
36,Aslan Karatsev,Russian Federation,63.64%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
37,Aslan Karatsev,Russian Federation,63.64%,3.5,3.5,3.6,45.80%,47.90%,44.30%,62.10%,50.10%,13.50%,6.0,2.7
38,Sebastian Baez,Argentina,61.29%,4.6,4.7,4.5,47.20%,51.30%,57.40%,52.00%,56.30%,14.50%,7.8,0.5
39,Sebastian Baez,Argentina,61.29%,4.6,4.7,4.5,47.20%,51.30%,57.40%,52.00%,56.30%,14.50%,7.8,0.5
40,Tomas Martin Etcheverry,Argentina,61.29%,4.8,4.8,4.8,53.40%,44.90%,42.10%,43.90%,55.60%,11.40%,5.7,-5.4
41,Tomas Martin Etcheverry,Argentina,61.29%,4.8,4.8,4.8,53.40%,44.90%,42.10%,43.90%,55.60%,11.40%,5.7,-5.4
42,Francisco Cerundolo,Argentina,60.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
43,Francisco Cerundolo,Argentina,60.00%,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,2.3
44,Laslo Djere,Serbia,59.26%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
45,Laslo Djere,Serbia,59.26%,4.2,4.2,4.1,46.10%,50.00%,53.10%,38.80%,46.10%,20.00%,6.4,-2.2
46,Lorenzo Musetti,Italy,59.26%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
47,Lorenzo Musetti,Italy,59.26%,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,-0.1
48,Zhizhen Zhang,China,58.82%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
49,Zhizhen Zhang,China,58.82%,4.0,4.2,3.9,47.00%,44.50%,54.80%,51.10%,53.00%,11.50%,6.5,1.3
50,Bernabe Zapata Miralles,Spain,57.14%,4.8,5.1,4.4,46.20%,51.50%,50.90%,47.00%,50.40%,12.00%,7.5,3.6
51,Bernabe Zapata Miralles,Spain,57.14%,4.8,5.1,4.4,46.20%,51.50%,50.90%,47.00%,50.40%,12.00%,7.5,3.6
52,Lorenzo Sonego,Italy,56.25%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
53,Lorenzo Sonego,Italy,56.25%,3.3,3.5,3.2,47.90%,39.90%,50.90%,34.60%,56.80%,25.40%,2.2,-5.2
54,Stan Wawrinka,Switzerland,56.25%,4.0,4.0,4.1,52.90%,45.20%,44.60%,48.30%,48.90%,36.30%,6.0,0.2
55,Stan Wawrinka,Switzerland,56.25%,4.0,4.0,4.1,52.90%,45.20%,44.60%,48.30%,48.90%,36.30%,6.0,0.2
56,Dusan Lajovic,Serbia,55.56%,4.6,4.7,4.4,47.30%,48.30%,47.70%,47.30%,55.30%,19.50%,9.2,-1.7
57,Dusan Lajovic,Serbia,55.56%,4.6,4.7,4.4,47.30%,48.30%,47.70%,47.30%,55.30%,19.50%,9.2,-1.7
58,Dominic Thiem,Austria,54.17%,4.1,4.0,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,-2.5
59,Dominic Thiem,Austria,54.17%,4.1,4.0,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,-2.5
60,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
61,Marcos Giron,United States,53.85%,3.9,4.4,3.4,49.00%,38.90%,48.80%,48.70%,49.20%,17.40%,6.3,-0.5
62,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
63,Roberto Carballes Baena,Spain,53.85%,5.2,5.6,4.8,49.10%,50.30%,46.30%,47.90%,54.80%,11.30%,11.9,1.0
64,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
65,Alejandro Davidovich Fokina,Spain,52.94%,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,0.0
66,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
67,Alexander Shevchenko,Russian Federation,50.00%,4.3,4.6,4.0,47.10%,45.60%,52.00%,43.70%,51.00%,9.40%,1.9,0.0
68,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
69,Alex Molcan,Slovakia,50.00%,4.7,5.1,4.4,46.20%,46.30%,54.20%,49.30%,50.60%,21.60%,7.9,-1.3
70,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
71,Christopher Oconnell,Australia,50.00%,3.8,3.8,3.8,51.40%,48.90%,50.70%,40.80%,52.40%,54.90%,3.8,0.1
72,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
73,Hubert Hurkacz,Poland,50.00%,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,-3.6
74,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
75,Jiri Lehecka,Czech Republic,50.00%,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,-1.0
