,name,country_name,hard_Win%,RPW,vAce%,v1st%,v2nd%,Brk%,PtsW/RG
0,Novak Djokovic,Serbia,96.43%,41.20%,5.30%,32.80%,54.00%,27.90%,2.9
1,Novak Djokovic,Serbia,96.43%,41.20%,5.30%,32.80%,54.00%,27.90%,2.9
2,Daniil Medvedev,Russian Federation,83.93%,41.00%,3.90%,32.70%,55.30%,31.40%,2.7
3,Daniil Medvedev,Russian Federation,83.93%,41.00%,3.90%,32.70%,55.30%,31.40%,2.7
4,Jannik Sinner,Italy,83.33%,41.60%,5.70%,33.90%,53.50%,30.70%,2.8
5,Jannik Sinner,Italy,83.33%,41.60%,5.70%,33.90%,53.50%,30.70%,2.8
6,Carlos Alcaraz,Spain,81.25%,41.80%,9.40%,32.50%,58.10%,30.80%,2.9
7,Carlos Alcaraz,Spain,81.25%,41.80%,9.40%,32.50%,58.10%,30.80%,2.9
8,Taylor Fritz,United States,74.51%,37.20%,9.70%,28.10%,52.20%,22.60%,2.5
9,Taylor Fritz,United States,74.51%,37.20%,9.70%,28.10%,52.20%,22.60%,2.5
10,Hubert Hurkacz,Poland,70.45%,33.50%,8.50%,24.40%,49.20%,17.90%,2.0
11,Hubert Hurkacz,Poland,70.45%,33.50%,8.50%,24.40%,49.20%,17.90%,2.0
12,Sebastian Korda,United States,68.75%,37.00%,7.70%,29.20%,50.20%,22.10%,2.4
13,Sebastian Korda,United States,68.75%,37.00%,7.70%,29.20%,50.20%,22.10%,2.4
14,Stefanos Tsitsipas,Greece,68.75%,36.80%,8.10%,28.90%,49.90%,21.40%,2.4
15,Stefanos Tsitsipas,Greece,68.75%,36.80%,8.10%,28.90%,49.90%,21.40%,2.4
16,Tommy Paul,United States,68.18%,35.00%,7.70%,27.40%,47.80%,18.30%,2.2
17,Tommy Paul,United States,68.18%,35.00%,7.70%,27.40%,47.80%,18.30%,2.2
18,Alex De Minaur,Australia,66.67%,36.30%,8.30%,26.50%,51.30%,21.40%,2.3
19,Alex De Minaur,Australia,66.67%,36.30%,8.30%,26.50%,51.30%,21.40%,2.3
20,Frances Tiafoe,United States,66.67%,35.30%,13.30%,25.70%,51.20%,20.30%,2.2
21,Frances Tiafoe,United States,66.67%,35.30%,13.30%,25.70%,51.20%,20.30%,2.2
22,Andrey Rublev,Russian Federation,65.00%,39.10%,6.40%,30.30%,52.90%,25.50%,2.6
23,Andrey Rublev,Russian Federation,65.00%,39.10%,6.40%,30.30%,52.90%,25.50%,2.6
24,Karen Khachanov,Russian Federation,64.52%,36.10%,7.60%,27.90%,48.40%,17.90%,2.4
25,Karen Khachanov,Russian Federation,64.52%,36.10%,7.60%,27.90%,48.40%,17.90%,2.4
26,Nicolas Jarry,Chile,63.16%,35.20%,6.60%,26.70%,50.20%,15.60%,2.3
27,Nicolas Jarry,Chile,63.16%,35.20%,6.60%,26.70%,50.20%,15.60%,2.3
28,Ugo Humbert,France,62.50%,34.50%,3.70%,27.50%,47.20%,17.90%,2.1
29,Ugo Humbert,France,62.50%,34.50%,3.70%,27.50%,47.20%,17.90%,2.1
30,Ben Shelton,United States,61.76%,32.60%,7.20%,25.90%,44.40%,16.50%,1.9
31,Ben Shelton,United States,61.76%,32.60%,7.20%,25.90%,44.40%,16.50%,1.9
32,Grigor Dimitrov,Bulgaria,61.76%,36.80%,9.70%,28.00%,50.80%,22.00%,2.4
33,Grigor Dimitrov,Bulgaria,61.76%,36.80%,9.70%,28.00%,50.80%,22.00%,2.4
34,Alexander Zverev,Germany,61.54%,39.20%,6.70%,30.40%,54.10%,25.70%,2.6
35,Alexander Zverev,Germany,61.54%,39.20%,6.70%,30.40%,54.10%,25.70%,2.6
36,Adrian Mannarino,France,60.53%,34.00%,7.00%,26.00%,47.30%,15.40%,2.2
37,Adrian Mannarino,France,60.53%,34.00%,7.00%,26.00%,47.30%,15.40%,2.2
38,Mackenzie Mcdonald,United States,60.00%,36.70%,6.00%,28.70%,49.60%,20.20%,2.4
39,Mackenzie Mcdonald,United States,60.00%,36.70%,6.00%,28.70%,49.60%,20.20%,2.4
40,Tallon Griekspoor,Netherlands,60.00%,34.50%,9.50%,27.60%,46.60%,16.90%,2.2
41,Tallon Griekspoor,Netherlands,60.00%,34.50%,9.50%,27.60%,46.60%,16.90%,2.2
42,Alejandro Davidovich Fokina,Spain,59.38%,37.00%,7.30%,28.80%,50.30%,19.90%,2.4
43,Alejandro Davidovich Fokina,Spain,59.38%,37.00%,7.30%,28.80%,50.30%,19.90%,2.4
44,Felix Auger Aliassime,Canada,58.82%,33.90%,10.50%,25.30%,48.20%,16.20%,2.1
45,Felix Auger Aliassime,Canada,58.82%,33.90%,10.50%,25.30%,48.20%,16.20%,2.1
46,Andy Murray,United Kingdom,56.00%,33.00%,10.00%,25.90%,44.80%,13.60%,2.1
47,Andy Murray,United Kingdom,56.00%,33.00%,10.00%,25.90%,44.80%,13.60%,2.1
48,Jiri Lehecka,Czech Republic,54.55%,35.30%,8.20%,25.00%,51.70%,20.20%,2.2
49,Jiri Lehecka,Czech Republic,54.55%,35.30%,8.20%,25.00%,51.70%,20.20%,2.2
50,Laslo Djere,Serbia,54.55%,34.80%,7.90%,28.70%,45.00%,17.50%,2.3
51,Laslo Djere,Serbia,54.55%,34.80%,7.90%,28.70%,45.00%,17.50%,2.3
52,Cameron Norrie,United Kingdom,53.57%,37.20%,5.40%,28.90%,51.90%,22.60%,2.4
53,Cameron Norrie,United Kingdom,53.57%,37.20%,5.40%,28.90%,51.90%,22.60%,2.4
54,Arthur Fils,France,53.33%,37.50%,8.30%,29.00%,49.80%,24.30%,2.4
55,Arthur Fils,France,53.33%,37.50%,8.30%,29.00%,49.80%,24.30%,2.4
56,Holger Rune,Denmark,53.33%,36.80%,11.00%,27.90%,49.60%,23.30%,2.4
57,Holger Rune,Denmark,53.33%,36.80%,11.00%,27.90%,49.60%,23.30%,2.4
58,Matteo Arnaldi,Italy,53.33%,36.40%,9.10%,28.70%,50.90%,18.70%,2.5
59,Matteo Arnaldi,Italy,53.33%,36.40%,9.10%,28.70%,50.90%,18.70%,2.5
60,Aslan Karatsev,Russian Federation,52.00%,36.70%,9.00%,28.60%,49.90%,21.80%,2.3
61,Aslan Karatsev,Russian Federation,52.00%,36.70%,9.00%,28.60%,49.90%,21.80%,2.3
62,Borna Coric,Croatia,50.00%,34.80%,8.90%,26.80%,48.80%,18.60%,2.2
63,Borna Coric,Croatia,50.00%,34.80%,8.90%,26.80%,48.80%,18.60%,2.2
64,Casper Ruud,Norway,50.00%,36.70%,7.90%,26.40%,53.70%,21.20%,2.4
65,Casper Ruud,Norway,50.00%,36.70%,7.90%,26.40%,53.70%,21.20%,2.4
66,Sebastian Baez,Argentina,50.00%,40.90%,6.90%,32.50%,54.70%,29.10%,2.7
67,Sebastian Baez,Argentina,50.00%,40.90%,6.90%,32.50%,54.70%,29.10%,2.7
68,Sebastian Ofner,Austria,50.00%,37.60%,8.00%,30.50%,49.30%,24.20%,2.4
69,Sebastian Ofner,Austria,50.00%,37.60%,8.00%,30.50%,49.30%,24.20%,2.4
70,Yoshihito Nishioka,Japan,48.28%,36.70%,6.70%,26.60%,52.70%,22.90%,2.3
71,Yoshihito Nishioka,Japan,48.28%,36.70%,6.70%,26.60%,52.70%,22.90%,2.3
72,Francisco Cerundolo,Argentina,47.62%,37.70%,10.10%,28.40%,52.40%,24.60%,2.4
73,Francisco Cerundolo,Argentina,47.62%,37.70%,10.10%,28.40%,52.40%,24.60%,2.4
74,Lorenzo Musetti,Italy,47.62%,40.00%,8.60%,31.30%,53.30%,28.40%,2.6
75,Lorenzo Musetti,Italy,47.62%,40.00%,8.60%,31.30%,53.30%,28.40%,2.6
76,Dusan Lajovic,Serbia,46.67%,37.40%,9.80%,30.50%,48.60%,22.10%,2.4
77,Dusan Lajovic,Serbia,46.67%,37.40%,9.80%,30.50%,48.60%,22.10%,2.4
78,Lorenzo Sonego,Italy,46.67%,34.60%,7.70%,28.20%,45.70%,18.20%,2.2
79,Lorenzo Sonego,Italy,46.67%,34.60%,7.70%,28.20%,45.70%,18.20%,2.2
80,Alexei Popyrin,Australia,45.45%,34.60%,6.10%,28.00%,45.50%,16.80%,2.3
81,Alexei Popyrin,Australia,45.45%,34.60%,6.10%,28.00%,45.50%,16.80%,2.3
82,Roman Safiullin,Russian Federation,45.00%,36.60%,6.70%,28.00%,50.60%,22.40%,2.3
83,Roman Safiullin,Russian Federation,45.00%,36.60%,6.70%,28.00%,50.60%,22.40%,2.3
84,Christopher Eubanks,United States,44.00%,32.60%,8.90%,24.50%,46.40%,14.60%,2.0
85,Christopher Eubanks,United States,44.00%,32.60%,8.90%,24.50%,46.40%,14.60%,2.0
86,Aleksandar Vukic,Australia,40.91%,35.70%,7.10%,27.50%,48.90%,20.60%,2.3
87,Aleksandar Vukic,Australia,40.91%,35.70%,7.10%,27.50%,48.90%,20.60%,2.3
88,Tomas Martin Etcheverry,Argentina,40.00%,37.20%,7.70%,28.30%,50.80%,23.80%,2.3
89,Tomas Martin Etcheverry,Argentina,40.00%,37.20%,7.70%,28.30%,50.80%,23.80%,2.3
90,Daniel Evans,United Kingdom,39.29%,35.20%,10.40%,26.10%,50.10%,18.70%,2.3
91,Daniel Evans,United Kingdom,39.29%,35.20%,10.40%,26.10%,50.10%,18.70%,2.3
92,Max Purcell,Australia,38.89%,33.40%,7.10%,26.80%,45.70%,15.90%,2.1
93,Max Purcell,Australia,38.89%,33.40%,7.10%,26.80%,45.70%,15.90%,2.1
94,Jan Lennard Struff,Germany,36.36%,35.00%,7.00%,28.10%,46.30%,17.30%,2.3
95,Jan Lennard Struff,Germany,36.36%,35.00%,7.00%,28.10%,46.30%,17.30%,2.3
96,Alexander Bublik,Kazakhstan,20.00%,31.50%,8.70%,23.80%,45.00%,12.60%,1.9
97,Alexander Bublik,Kazakhstan,20.00%,31.50%,8.70%,23.80%,45.00%,12.60%,1.9
98,Novak Djokovic,Serbia,96.43%,41.20%,5.30%,32.80%,54.00%,27.90%,2.9
99,Novak Djokovic,Serbia,96.43%,41.20%,5.30%,32.80%,54.00%,27.90%,2.9
100,Daniil Medvedev,Russian Federation,83.93%,41.00%,3.90%,32.70%,55.30%,31.40%,2.7
101,Daniil Medvedev,Russian Federation,83.93%,41.00%,3.90%,32.70%,55.30%,31.40%,2.7
102,Jannik Sinner,Italy,83.33%,41.60%,5.70%,33.90%,53.50%,30.70%,2.8
103,Jannik Sinner,Italy,83.33%,41.60%,5.70%,33.90%,53.50%,30.70%,2.8
104,Carlos Alcaraz,Spain,81.25%,41.80%,9.40%,32.50%,58.10%,30.80%,2.9
105,Carlos Alcaraz,Spain,81.25%,41.80%,9.40%,32.50%,58.10%,30.80%,2.9
106,Taylor Fritz,United States,74.51%,37.20%,9.70%,28.10%,52.20%,22.60%,2.5
107,Taylor Fritz,United States,74.51%,37.20%,9.70%,28.10%,52.20%,22.60%,2.5
