Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
2,Carlos Alcaraz [ESP],12,Dec-00,100.00%,68.70%,69.10%,73,6.50%,39,3.50%,9.80%,64.30%,76.20%,55.10%,61.10%,90.40%,6.3,2
1,Novak Djokovic [SRB],7,1-Jun,85.70%,71.70%,70.10%,68,8.60%,11,1.40%,3.90%,64.60%,77.60%,60.90%,63.30%,93.90%,6.1,1.7
33,Alexander Bublik [KAZ],11,2-Sep,81.80%,70.90%,72.10%,180,19.40%,85,9.20%,23.40%,60.70%,84.00%,50.50%,65.90%,90.80%,6.1,1.8
32,Christopher Eubanks [USA],16,13-3,81.30%,70.60%,68.40%,224,14.10%,53,3.30%,11.70%,71.40%,77.50%,53.30%,60.30%,91.20%,6.1,1.8
5,Andrey Rublev [RUS],10,2-Aug,80.00%,67.60%,65.00%,113,10.90%,19,1.80%,4.90%,62.20%,77.60%,51.20%,53.80%,87.20%,6,1.9
14,Frances Tiafoe [USA],9,2-Jul,77.80%,68.70%,67.40%,88,11.60%,29,3.80%,9.40%,59.00%,78.00%,55.20%,60.90%,87.40%,6.4,2
23,Tallon Griekspoor [NED],9,2-Jul,77.80%,67.20%,64.80%,83,11.20%,18,2.40%,7.10%,65.70%,74.90%,52.40%,56.40%,87.20%,6.3,2.1
17,Grigor Dimitrov [BUL],9,2-Jul,77.80%,71.30%,70.30%,98,15.00%,32,4.90%,11.90%,58.90%,83.90%,53.20%,60.30%,92.00%,5.8,1.7
7,Holger Rune [DEN],9,2-Jul,77.80%,68.10%,68.80%,71,8.00%,42,4.80%,13.00%,63.50%,76.60%,53.10%,61.10%,89.40%,6.2,2
25,Adrian Mannarino [FRA],16,4-Dec,75.00%,64.30%,65.30%,62,5.10%,52,4.20%,10.90%,61.10%,70.30%,54.80%,61.60%,80.70%,6.4,2.3
21,Francisco Cerundolo [ARG],8,2-Jun,75.00%,60.50%,62.20%,29,4.20%,36,5.20%,14.50%,64.40%,68.80%,45.60%,53.30%,73.80%,6.5,2.6
41,Matteo Arnaldi [ITA],4,1-Mar,75.00%,69.90%,69.40%,33,8.80%,12,3.20%,8.30%,61.30%,74.30%,62.80%,68.40%,87.90%,5.7,1.7
4,Jannik Sinner [ITA],11,3-Aug,72.70%,71.10%,69.40%,99,11.70%,23,2.70%,6.40%,57.90%,80.00%,58.80%,62.90%,90.60%,5.7,1.6
27,Jan Lennard Struff [GER],7,2-May,71.40%,69.60%,66.90%,106,19.70%,31,5.80%,14.40%,60.10%,81.20%,52.10%,60.90%,90.60%,6.3,1.9
9,Alexander Zverev [GER],7,2-May,71.40%,72.90%,71.00%,80,14.50%,18,3.30%,10.70%,69.30%,80.10%,56.80%,63.60%,95.70%,5.9,1.6
3,Daniil Medvedev [RUS],10,3-Jul,70.00%,66.70%,65.90%,98,11.00%,40,4.50%,13.60%,67.10%,76.20%,47.30%,54.70%,84.10%,6.2,2.1
45,Roman Safiullin [RUS],13,4-Sep,69.20%,69.20%,69.20%,100,9.20%,45,4.10%,11.70%,64.50%,75.20%,58.20%,65.90%,86.10%,6,1.9
11,Hubert Hurkacz [POL],9,3-Jun,66.70%,73.00%,67.90%,174,20.50%,19,2.20%,7.00%,67.80%,81.40%,55.30%,59.40%,95.80%,6,1.6
22,Lorenzo Musetti [ITA],9,3-Jun,66.70%,66.50%,68.20%,61,8.00%,47,6.20%,15.90%,61.20%,77.00%,50.00%,59.40%,88.70%,6.6,2.2
