Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG
1,Novak Djokovic [SRB],34,33-1,97.10%,71.60%,72.10%,225,8.70%,104,4.00%,10.90%,63.00%,79.70%,57.90%,64.90%,91.30%,6.1,1.7
4,Jannik Sinner [ITA],47,39-8,83.00%,67.80%,66.90%,273,7.90%,87,2.50%,6.20%,59.80%,76.30%,55.30%,59.00%,87.30%,6.2,2
2,Carlos Alcaraz [ESP],32,26-6,81.30%,66.90%,67.30%,120,5.00%,74,3.10%,8.60%,64.20%,72.10%,57.50%,62.90%,85.90%,6.3,2.1
3,Daniil Medvedev [RUS],58,47-11,81.00%,67.00%,67.20%,442,10.20%,231,5.30%,15.10%,64.70%,76.30%,50.00%,58.90%,86.50%,6.4,2.1
10,Taylor Fritz [USA],56,41-15,73.20%,69.50%,67.10%,555,13.00%,120,2.80%,7.10%,60.50%,79.80%,53.90%,58.00%,88.80%,6.2,1.9
11,Hubert Hurkacz [POL],43,31-12,72.10%,69.70%,64.90%,639,16.90%,66,1.70%,5.10%,65.50%,79.30%,51.30%,54.10%,88.10%,6.2,1.9
24,Sebastian Korda [USA],32,22-10,68.80%,67.40%,65.40%,299,11.00%,73,2.70%,7.00%,61.80%,75.70%,54.00%,58.10%,86.10%,6.4,2.1
20,Nicolas Jarry [CHI],25,17-8,68.00%,69.00%,66.70%,231,12.10%,48,2.50%,7.30%,65.40%,77.60%,52.80%,56.90%,88.40%,6.2,1.9
13,Alex De Minaur [AUS],51,34-17,66.70%,63.90%,64.60%,156,4.70%,123,3.70%,8.40%,55.60%,72.60%,52.90%,57.80%,79.30%,6.3,2.3
12,Tommy Paul [USA],47,31-16,66.00%,65.50%,64.30%,292,8.20%,96,2.70%,7.20%,62.30%,72.70%,53.50%,57.70%,82.50%,6.3,2.2
6,Stefanos Tsitsipas [GRE],40,26-14,65.00%,70.40%,68.60%,359,11.60%,82,2.60%,7.30%,63.90%,78.80%,55.70%,60.10%,89.50%,6,1.8
15,Karen Khachanov [RUS],31,20-11,64.50%,66.50%,64.70%,232,9.90%,61,2.60%,7.30%,64.50%,75.30%,50.40%,54.30%,83.90%,6.3,2.1
5,Andrey Rublev [RUS],44,28-16,63.60%,66.40%,64.20%,366,10.40%,85,2.40%,6.40%,62.40%,76.20%,50.10%,53.50%,83.10%,6.2,2.1
25,Adrian Mannarino [FRA],41,26-15,63.40%,64.80%,63.90%,209,7.00%,79,2.70%,6.70%,60.20%,72.40%,53.30%,57.10%,82.20%,6.4,2.3
26,Ugo Humbert [FRA],38,24-14,63.20%,64.60%,63.70%,211,8.00%,83,3.10%,8.10%,61.00%,73.00%,51.40%,55.90%,80.70%,6.3,2.2
9,Alexander Zverev [GER],42,26-16,61.90%,66.50%,65.00%,343,10.60%,110,3.40%,12.00%,71.70%,73.40%,49.00%,55.70%,83.30%,6.2,2.1
17,Grigor Dimitrov [BUL],34,21-13,61.80%,66.90%,66.50%,259,9.90%,114,4.40%,11.60%,62.30%,76.30%,51.30%,58.00%,83.90%,6.2,2
14,Frances Tiafoe [USA],39,24-15,61.50%,67.50%,65.60%,294,11.10%,78,2.90%,7.30%,60.10%,76.80%,53.60%,57.80%,86.00%,6.2,2
30,Jiri Lehecka [CZE],43,26-17,60.50%,65.00%,64.30%,225,7.30%,93,3.00%,8.50%,64.50%,72.40%,51.60%,56.40%,82.40%,6.4,2.2
42,Mackenzie Mcdonald [USA],43,26-17,60.50%,63.70%,63.10%,193,6.90%,87,3.10%,8.50%,63.20%,70.80%,51.40%,56.20%,80.10%,6.3,2.3
23,Tallon Griekspoor [NED],40,24-16,60.00%,68.30%,67.50%,322,11.70%,122,4.40%,12.00%,62.80%,77.50%,52.60%,59.80%,88.30%,6.3,2
