rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,90.00%
2,Carlos Alcaraz Garfia,Spain,ESP,87.50%
3,Daniil Medvedev,Russian Federation,RUS,81.01%
4,Jannik Sinner,Italy,ITA,80.00%
5,Andrey Rublev,Russian Federation,RUS,71.62%
6,Stefanos Tsitsipas,Greece,GRE,69.35%
7,Taylor Harry Fritz,United States,USA,69.33%
8,Frances Tiafoe,United States,USA,68.42%
9,Alexander Zverev,Germany,GER,67.12%
10,Hubert Hurkacz,Poland,POL,66.67%
10,Nicolas Jarry,Chile,CHI,66.67%
12,Holger Vitus Nodskov Rune,Denmark,DEN,66.10%
13,Karen Khachanov,Russian Federation,RUS,65.22%
14,Grigor Dimitrov,Bulgaria,BUL,64.29%
15,Alex De Minaur,Australia,AUS,63.49%
16,Sebastian Korda,United States,USA,63.41%
17,Casper Ruud,Norway,NOR,62.07%
18,Tommy Paul,United States,USA,61.90%
19,Adrian Mannarino,France,FRA,61.02%
20,Cameron Norrie,United Kingdom,GBR,60.71%
21,Gael Monfils,France,FRA,60.00%
22,Tallon Griekspoor,Netherlands,NED,59.62%
23,Jack Draper,United Kingdom,GBR,58.33%
24,Francisco Cerundolo,Argentina,ARG,57.63%
25,Laslo Djere,Serbia,SRB,57.14%
26,Michael Mmoh,United States,USA,56.52%
27,Jan Lennard Struff,Germany,GER,56.25%
28,Lorenzo Musetti,Italy,ITA,56.14%
29,Stan Wawrinka,Switzerland,SUI,55.81%
30,Alejandro Davidovich Fokina,Spain,ESP,55.56%
30,Sebastian Baez,Argentina,ARG,55.56%
32,Arthur Fils,France,FRA,55.17%
33,Matteo Arnaldi,Italy,ITA,54.84%
34,Jiri Lehecka,Czech Republic,CZE,54.72%
35,Christian Garin,Chile,CHI,54.29%
36,Marton Fucsovics,Hungary,HUN,54.05%
37,Felix Auger Aliassime,Canada,CAN,53.85%
38,Aslan Karatsev,Russian Federation,RUS,53.66%
39,Mackenzie Mcdonald,United States,USA,53.57%
40,Ugo Humbert,France,FRA,53.33%
41,Zhizhen Zhang,China,CHN,52.78%
42,Christopher Eubanks,United States,USA,52.50%
43,Rinky Hijikata,Australia,AUS,52.38%
44,Matteo Berrettini,Italy,ITA,52.17%
45,Ben Shelton,United States,USA,52.08%
46,Jeffrey John Wolf,United States,USA,52.00%
47,Tomas Martin Etcheverry,Argentina,ARG,51.85%
48,Benjamin Bonzi,France,FRA,51.72%
49,Roman Safiullin,Russian Federation,RUS,51.43%
50,Borna Coric,Croatia,CRO,51.28%
