Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk
2,Carlos Alcaraz [ESP],28,45.30%,44.40%,2.90%,3.80%,39.30%,54.80%,39.60%,6.6,3,39.5,71.5
4,Jannik Sinner [ITA],11,44.80%,44.50%,4.60%,4.20%,36.80%,57.50%,37.90%,6.7,3,36,49.3
1,Novak Djokovic [SRB],15,44.50%,44.70%,4.20%,3.00%,39.80%,51.90%,35.30%,7.1,3.1,34,55.4
3,Daniil Medvedev [RUS],13,42.20%,41.50%,2.70%,3.00%,35.80%,52.20%,33.30%,6.3,2.7,43,64.5
29,Sebastian Baez [ARG],32,42.10%,41.30%,3.40%,3.80%,34.10%,54.90%,30.10%,6.9,2.9,91.5,126.2
22,Lorenzo Musetti [ITA],27,41.90%,41.00%,2.90%,3.40%,35.60%,52.70%,31.60%,6.4,2.7,66,68.3
9,Alexander Zverev [GER],27,41.80%,41.40%,4.10%,3.50%,32.80%,56.60%,31.60%,6.4,2.7,57,68.7
5,Andrey Rublev [RUS],24,41.80%,41.70%,4.80%,3.60%,33.70%,55.60%,30.30%,6.8,2.8,59.5,58
47,Yannick Hanfmann [GER],42,41.60%,41.80%,5.30%,3.50%,35.00%,52.40%,29.10%,6.8,2.8,95,112.9
21,Francisco Cerundolo [ARG],31,41.50%,41.00%,2.90%,2.90%,36.00%,51.20%,32.20%,6.7,2.8,65,72.1
44,Sebastian Ofner [AUT],17,41.50%,40.90%,4.20%,4.00%,34.30%,53.60%,30.30%,6.5,2.7,112,112.5
36,Arthur Fils [FRA],17,40.50%,40.50%,4.90%,3.50%,35.50%,50.00%,26.40%,6.7,2.7,63.5,123.9
48,Dusan Lajovic [SRB],31,40.40%,40.50%,4.70%,3.00%,32.50%,53.90%,26.40%,6.7,2.7,65,71.1
10,Taylor Fritz [USA],17,40.30%,39.70%,4.10%,3.70%,32.80%,53.00%,28.20%,6.7,2.7,75,65.7
31,Tomas Martin Etcheverry [ARG],32,40.20%,39.80%,3.90%,3.40%,33.50%,52.40%,27.60%,6.7,2.7,65,88.5
18,Cameron Norrie [GBR],25,40.10%,40.40%,5.60%,3.40%,32.10%,53.70%,27.30%,6.6,2.7,99,124.1
24,Sebastian Korda [USA],4,40.10%,38.40%,4.80%,5.80%,26.30%,58.30%,28.30%,7.8,3.2,110.5,102
28,Alejandro Davidovich Fokina [ESP],17,39.80%,39.60%,3.70%,2.80%,31.70%,53.30%,25.40%,6.7,2.7,59,77.1
17,Grigor Dimitrov [BUL],15,39.80%,40.50%,6.10%,2.90%,30.30%,55.70%,27.10%,6.5,2.6,50,54.3
7,Holger Rune [DEN],20,39.80%,39.10%,4.90%,4.30%,32.90%,51.10%,27.10%,6.5,2.6,45,73
6,Stefanos Tsitsipas [GRE],22,39.70%,39.10%,4.30%,3.70%,33.00%,52.20%,27.80%,6.4,2.5,45,63
8,Casper Ruud [NOR],30,39.60%,39.70%,5.70%,3.60%,32.60%,51.90%,26.70%,6.5,2.6,51.5,60.1
35,Aslan Karatsev [RUS],18,39.50%,39.30%,6.60%,4.60%,31.50%,51.50%,25.70%,6.4,2.5,89,122.2
49,Yoshihito Nishioka [JPN],9,39.50%,40.10%,7.00%,3.70%,32.10%,51.10%,26.30%,6.7,2.7,50,62
42,Mackenzie Mcdonald [USA],5,39.40%,39.90%,5.70%,3.10%,34.20%,49.10%,25.00%,6.7,2.6,42,78
45,Roman Safiullin [RUS],12,39.30%,40.90%,6.10%,1.60%,33.90%,50.00%,26.20%,6.3,2.5,77.5,86.6
41,Matteo Arnaldi [ITA],19,39.30%,38.20%,3.60%,4.00%,30.50%,53.30%,24.90%,6.5,2.6,90,89.7
13,Alex De Minaur [AUS],9,39.20%,38.20%,3.20%,3.60%,32.30%,48.70%,27.70%,6.6,2.6,79,70.8
15,Karen Khachanov [RUS],15,38.90%,39.40%,5.60%,2.70%,32.10%,49.40%,22.20%,6.8,2.7,48,47.7
50,Aleksandar Vukic [AUS],5,38.60%,37.30%,5.10%,5.10%,28.80%,50.90%,26.60%,6.2,2.4,167,169.8
14,Frances Tiafoe [USA],12,38.60%,40.30%,9.80%,3.80%,31.30%,52.50%,23.90%,6.6,2.6,66,70.9
30,Jiri Lehecka [CZE],14,38.30%,38.00%,4.90%,3.50%,31.60%,48.60%,25.70%,6.3,2.4,80,89.2
37,Daniel Evans [GBR],12,37.60%,36.90%,4.90%,3.90%,31.30%,51.00%,22.80%,6.4,2.4,78,88
20,Nicolas Jarry [CHI],29,37.20%,37.10%,5.30%,3.30%,30.70%,49.50%,21.10%,6.5,2.4,58.5,71.8
12,Tommy Paul [USA],7,37.10%,35.90%,2.70%,3.30%,32.20%,46.40%,21.30%,6.8,2.5,79,83.3
27,Jan Lennard Struff [GER],18,36.90%,37.20%,7.00%,3.80%,28.50%,50.50%,23.60%,6.4,2.4,44,64.2
