rank,name,country_name,country_id,value
1,Carlos Alcaraz Garfia,Spain,ESP,89.29%
2,Holger Vitus Nodskov Rune,Denmark,DEN,80.00%
2,Novak Djokovic,Serbia,SRB,80.00%
4,Andrey Rublev,Russian Federation,RUS,79.17%
5,Stefanos Tsitsipas,Greece,GRE,77.27%
6,Daniil Medvedev,Russian Federation,RUS,76.92%
7,Alexander Zverev,Germany,GER,74.07%
8,Casper Ruud,Norway,NOR,73.33%
9,Jannik Sinner,Italy,ITA,72.73%
10,Nicolas Jarry,Chile,CHI,72.00%
11,Cameron Norrie,United Kingdom,GBR,69.57%
12,Arthur Fils,France,FRA,66.67%
12,Frances Tiafoe,United States,USA,66.67%
12,Grigor Dimitrov,Bulgaria,BUL,66.67%
12,Karen Khachanov,Russian Federation,RUS,66.67%
16,Alexei Popyrin,Australia,AUS,64.71%
16,Taylor Harry Fritz,United States,USA,64.71%
18,Borna Coric,Croatia,CRO,64.29%
18,Jan Lennard Struff,Germany,GER,64.29%
20,Aslan Karatsev,Russian Federation,RUS,63.64%
21,Sebastian Baez,Argentina,ARG,61.29%
21,Tomas Martin Etcheverry,Argentina,ARG,61.29%
23,Francisco Cerundolo,Argentina,ARG,60.00%
23,Matteo Arnaldi,Italy,ITA,60.00%
23,Yannick Hanfmann,Germany,GER,60.00%
26,Laslo Djere,Serbia,SRB,59.26%
26,Lorenzo Musetti,Italy,ITA,59.26%
28,Zhizhen Zhang,China,CHN,58.82%
29,Christian Garin,Chile,CHI,57.89%
30,Bernabe Zapata Miralles,Spain,ESP,57.14%
31,Lorenzo Sonego,Italy,ITA,56.25%
31,Stan Wawrinka,Switzerland,SUI,56.25%
33,Daniel Altmaier,Germany,GER,55.56%
33,Dusan Lajovic,Serbia,SRB,55.56%
35,Dominic Thiem,Austria,AUT,54.17%
35,Jaume Munar,Spain,ESP,54.17%
37,Federico Coria,Argentina,ARG,53.85%
37,Marcos Giron,United States,USA,53.85%
37,Pedro Cachin,Argentina,ARG,53.85%
37,Roberto Carballes Baena,Spain,ESP,53.85%
41,Alejandro Davidovich Fokina,Spain,ESP,52.94%
42,Alexander Shevchenko,Russian Federation,RUS,50.00%
42,Alex Molcan,Slovakia,SVK,50.00%
42,Arthur Rinderknech,France,FRA,50.00%
42,Christopher Oconnell,Australia,AUS,50.00%
42,Gregoire Barrere,France,FRA,50.00%
42,Hubert Hurkacz,Poland,POL,50.00%
42,Jason Kubler,Australia,AUS,50.00%
42,Jeffrey John Wolf,United States,USA,50.00%
42,Jiri Lehecka,Czech Republic,CZE,50.00%
42,Juan Pablo Varillas Patino Samudio,Peru,PER,50.00%
42,Marco Cecchinato,Italy,ITA,50.00%
42,Miomir Kecmanovic,Serbia,SRB,50.00%
42,Sebastian Ofner,Austria,AUT,50.00%
55,Fabio Fognini,Italy,ITA,46.15%
55,Luca Van Assche,France,FRA,46.15%
57,Alexandre Muller,France,FRA,45.45%
57,Daniel Evans,United Kingdom,GBR,45.45%
57,Emil Ruusuvuori,Finland,FIN,45.45%
60,Albert Ramos,Spain,ESP,44.00%
61,Botic Van De Zandschulp,Netherlands,NED,40.00%
61,Marton Fucsovics,Hungary,HUN,40.00%
63,Thiago Monteiro,Brazil,BRA,37.50%
64,Guido Pella,Argentina,ARG,36.36%
64,Roberto Bautista Agut,Spain,ESP,36.36%
66,Hugo Dellien,"Bolivia, Plurinational State of",BOL,35.71%
67,Daniel Elahi Galan Riveros,Colombia,COL,28.57%
68,Juan Manuel Cerundolo,Argentina,ARG,27.27%
69,Diego Sebastian Schwartzman,Argentina,ARG,26.67%
70,Richard Gasquet,France,FRA,20.00%
71,Marc Andrea Huesler,Switzerland,SUI,10.00%
