Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk
2,Carlos Alcaraz [ESP],12,40.50%,40.70%,5.50%,3.50%,34.30%,52.30%,26.30%,6.8,2.7,30,74.8
17,Grigor Dimitrov [BUL],9,40.30%,40.50%,6.90%,4.40%,31.30%,53.90%,29.00%,6.3,2.6,44,57.8
21,Francisco Cerundolo [ARG],8,39.80%,39.80%,5.90%,3.80%,32.20%,53.80%,24.50%,6.7,2.7,45.5,45.6
4,Jannik Sinner [ITA],11,39.30%,40.20%,7.80%,3.70%,31.10%,52.40%,23.50%,6.9,2.7,49,62.9
25,Adrian Mannarino [FRA],16,39.10%,40.30%,7.70%,3.20%,30.90%,52.00%,29.10%,6.3,2.5,73,87.2
13,Alex De Minaur [AUS],9,38.90%,40.10%,6.60%,2.40%,32.90%,49.50%,22.20%,6.7,2.6,38,58.1
12,Tommy Paul [USA],14,38.30%,39.10%,8.60%,4.20%,30.80%,50.30%,24.50%,6.5,2.5,66.5,171.4
45,Roman Safiullin [RUS],13,37.70%,39.20%,10.20%,4.10%,28.30%,53.80%,21.20%,6.5,2.5,78,151.1
42,Mackenzie Mcdonald [USA],13,37.70%,37.20%,7.60%,5.30%,26.80%,53.40%,21.10%,6.5,2.5,87,120.2
18,Cameron Norrie [GBR],5,37.70%,41.50%,12.30%,2.10%,32.60%,46.70%,22.20%,6.5,2.5,43,59.8
3,Daniil Medvedev [RUS],10,37.60%,38.00%,5.70%,2.90%,30.10%,50.90%,22.80%,6.2,2.3,47.5,77.1
47,Yannick Hanfmann [GER],7,37.40%,38.40%,8.00%,3.30%,30.20%,50.20%,22.80%,6.3,2.3,43,158.9
22,Lorenzo Musetti [ITA],9,37.30%,38.60%,8.60%,3.30%,29.10%,50.40%,22.10%,6.5,2.4,58,64.3
26,Ugo Humbert [FRA],7,37.10%,37.70%,8.20%,4.00%,30.30%,49.20%,20.20%,6.6,2.4,87,119.3
28,Alejandro Davidovich Fokina [ESP],5,37.10%,37.10%,9.80%,5.70%,27.30%,53.30%,23.50%,6.5,2.4,44,52.6
33,Alexander Bublik [KAZ],11,36.90%,37.80%,8.60%,3.80%,27.10%,54.00%,20.60%,6.1,2.3,21,44.3
8,Casper Ruud [NOR],2,36.80%,34.10%,4.50%,6.50%,30.60%,46.00%,22.00%,6,2.2,170.5,170.5
48,Dusan Lajovic [SRB],1,36.70%,38.10%,6.30%,1.60%,35.20%,40.00%,25.00%,6.4,2.4,164,164
5,Andrey Rublev [RUS],10,36.30%,37.40%,10.90%,4.80%,27.30%,50.90%,22.60%,6.3,2.3,49,47.7
20,Nicolas Jarry [CHI],7,36.20%,36.50%,8.80%,4.60%,26.90%,51.00%,15.50%,6.8,2.5,57,47.1
1,Novak Djokovic [SRB],7,35.50%,38.40%,11.80%,2.70%,25.90%,51.20%,18.40%,6.3,2.2,18,37.1
40,Andy Murray [GBR],3,34.80%,35.90%,6.60%,2.00%,26.90%,49.50%,17.00%,6.4,2.2,18,97
30,Jiri Lehecka [CZE],8,34.70%,34.10%,7.10%,4.60%,27.40%,48.00%,17.60%,6.5,2.3,17,26.6
14,Frances Tiafoe [USA],9,34.70%,37.50%,15.60%,4.90%,21.60%,54.10%,17.10%,6.6,2.3,37,48.9
7,Holger Rune [DEN],9,34.30%,33.00%,6.20%,4.90%,26.00%,47.60%,14.90%,6.6,2.3,34,92
23,Tallon Griekspoor [NED],9,34.10%,36.40%,11.80%,3.20%,27.70%,44.40%,18.40%,6.1,2.1,52,50.9
46,Lorenzo Sonego [ITA],6,34.00%,35.80%,9.20%,2.40%,24.60%,49.80%,13.80%,6.8,2.3,41.5,40.2
35,Aslan Karatsev [RUS],7,33.90%,34.30%,10.60%,4.90%,27.70%,44.00%,13.60%,6.5,2.2,75,67.7
24,Sebastian Korda [USA],5,33.90%,32.00%,9.00%,7.00%,25.60%,47.40%,12.90%,6.4,2.2,13,115.6
27,Jan Lennard Struff [GER],7,33.80%,37.20%,16.10%,4.20%,25.40%,47.80%,19.30%,6.2,2.1,48,42.9
10,Taylor Fritz [USA],7,33.40%,33.30%,7.00%,3.70%,25.70%,47.20%,13.90%,6.4,2.1,50,56.9
49,Yoshihito Nishioka [JPN],1,33.30%,34.70%,12.60%,4.60%,21.20%,51.40%,14.30%,6.2,2.1,85,85
16,Ben Shelton [USA],5,33.00%,32.80%,5.40%,2.90%,25.30%,47.10%,9.20%,6.8,2.2,60,61.2
36,Arthur Fils [FRA],6,32.80%,32.30%,9.20%,5.10%,22.10%,48.20%,14.90%,6.3,2.1,110.5,174.7
50,Aleksandar Vukic [AUS],8,32.30%,34.20%,10.40%,2.70%,26.70%,42.10%,14.90%,6,1.9,72.5,150.5
9,Alexander Zverev [GER],7,32.00%,32.50%,11.40%,4.80%,21.40%,49.10%,13.80%,6,1.9,48,71.3
34,Laslo Djere [SRB],7,31.70%,29.90%,8.70%,6.40%,21.70%,48.00%,10.60%,6.4,2,36,80
11,Hubert Hurkacz [POL],9,31.40%,32.40%,10.80%,3.80%,24.90%,44.30%,11.50%,6.3,2,74,64.8
38,Borna Coric [CRO],3,31.10%,33.10%,9.70%,1.90%,27.60%,39.00%,7.10%,6.4,2,68,141.3
41,Matteo Arnaldi [ITA],4,31.10%,30.10%,6.50%,4.20%,22.90%,42.90%,12.30%,5.9,1.8,189,156
32,Christopher Eubanks [USA],16,30.60%,31.10%,10.30%,3.90%,22.20%,44.90%,12.40%,6.1,1.9,66.5,101.6
29,Sebastian Baez [ARG],3,30.60%,30.30%,5.20%,2.80%,27.80%,36.70%,12.20%,6,1.9,68,72.7
31,Tomas Martin Etcheverry [ARG],3,30.00%,29.80%,4.70%,2.20%,23.00%,43.50%,12.50%,5.7,1.7,53,62.3
6,Stefanos Tsitsipas [GRE],8,29.40%,29.20%,6.80%,3.10%,23.10%,40.50%,10.60%,5.9,1.7,51.5,52.9
43,Max Purcell [AUS],3,28.40%,28.90%,9.80%,3.30%,21.90%,42.00%,8.30%,6,1.7,145,262
39,Alexei Popyrin [AUS],6,28.00%,26.20%,8.30%,5.50%,18.60%,42.90%,12.80%,5.7,1.6,80.5,127.3
44,Sebastian Ofner [AUT],1,27.00%,26.50%,4.50%,2.20%,28.60%,21.10%,0.00%,5.9,1.6,37,37
19,Felix Auger Aliassime [CAN],1,26.70%,26.90%,8.20%,2.70%,18.30%,47.60%,8.00%,5.8,1.6,119,119
37,Daniel Evans [GBR],2,26.50%,30.40%,19.00%,2.60%,18.40%,38.70%,0.00%,6.1,1.6,55.5,55.5
