rank,name,country_name,country_id,value
1,Novak Djokovic,Serbia,SRB,96.43%
2,Daniil Medvedev,Russian Federation,RUS,83.93%
3,Jannik Sinner,Italy,ITA,83.33%
4,Carlos Alcaraz Garfia,Spain,ESP,81.25%
5,Taylor Harry Fritz,United States,USA,74.51%
6,Hubert Hurkacz,Poland,POL,70.45%
7,Sebastian Korda,United States,USA,68.75%
7,Stefanos Tsitsipas,Greece,GRE,68.75%
9,Tommy Paul,United States,USA,68.18%
10,Alex De Minaur,Australia,AUS,66.67%
10,Frances Tiafoe,United States,USA,66.67%
12,Andrey Rublev,Russian Federation,RUS,65.00%
13,Karen Khachanov,Russian Federation,RUS,64.52%
14,Borna Gojo,Croatia,CRO,64.29%
15,Dominik Koepfer,Germany,GER,63.64%
15,Gael Monfils,France,FRA,63.64%
17,Nicolas Jarry,Chile,CHI,63.16%
18,Ugo Humbert,France,FRA,62.50%
19,Benjamin Bonzi,France,FRA,61.90%
20,Ben Shelton,United States,USA,61.76%
20,Grigor Dimitrov,Bulgaria,BUL,61.76%
22,Alexander Zverev,Germany,GER,61.54%
23,Jack Draper,United Kingdom,GBR,61.11%
24,Adrian Mannarino,France,FRA,60.53%
25,Mackenzie Mcdonald,United States,USA,60.00%
25,Michael Mmoh,United States,USA,60.00%
25,Tallon Griekspoor,Netherlands,NED,60.00%
25,Yibing Wu,China,CHN,60.00%
29,Alejandro Davidovich Fokina,Spain,ESP,59.38%
30,Felix Auger Aliassime,Canada,CAN,58.82%
31,Andy Murray,United Kingdom,GBR,56.00%
32,Marton Fucsovics,Hungary,HUN,55.00%
33,Jiri Lehecka,Czech Republic,CZE,54.55%
33,Laslo Djere,Serbia,SRB,54.55%
33,Soon Woo Kwon,"Korea, Republic of",KOR,54.55%
36,Stan Wawrinka,Switzerland,SUI,54.17%
37,Cameron Norrie,United Kingdom,GBR,53.57%
38,Arthur Fils,France,FRA,53.33%
38,Holger Vitus Nodskov Rune,Denmark,DEN,53.33%
38,Matteo Arnaldi,Italy,ITA,53.33%
41,Jeffrey John Wolf,United States,USA,52.94%
42,Aslan Karatsev,Russian Federation,RUS,52.00%
43,Emil Ruusuvuori,Finland,FIN,51.85%
44,Borna Coric,Croatia,CRO,50.00%
44,Botic Van De Zandschulp,Netherlands,NED,50.00%
44,Casper Ruud,Norway,NOR,50.00%
44,Christian Garin,Chile,CHI,50.00%
44,Jason Kubler,Australia,AUS,50.00%
44,Richard Gasquet,France,FRA,50.00%
44,Sebastian Baez,Argentina,ARG,50.00%
44,Sebastian Ofner,Austria,AUT,50.00%
44,Thanasi Kokkinakis,Australia,AUS,50.00%
44,Zhizhen Zhang,China,CHN,50.00%
54,Marcos Giron,United States,USA,48.48%
55,Yoshihito Nishioka,Japan,JPN,48.28%
56,Francisco Cerundolo,Argentina,ARG,47.62%
56,Lorenzo Musetti,Italy,ITA,47.62%
58,Dusan Lajovic,Serbia,SRB,46.67%
58,Lorenzo Sonego,Italy,ITA,46.67%
58,Rinky Hijikata,Australia,AUS,46.67%
61,Miomir Kecmanovic,Serbia,SRB,46.43%
62,Denis Shapovalov,Canada,CAN,46.15%
63,Alexei Popyrin,Australia,AUS,45.45%
63,Alex Molcan,Slovakia,SVK,45.45%
63,Yosuke Watanuki,Japan,JPN,45.45%
66,Roman Safiullin,Russian Federation,RUS,45.00%
66,Taro Daniel,Japan,JPN,45.00%
68,Maxime Cressy,United States,USA,44.44%
68,Roberto Bautista Agut,Spain,ESP,44.44%
70,Christopher Eubanks,United States,USA,44.00%
71,Matteo Berrettini,Italy,ITA,43.75%
72,Jordan Thompson,Australia,AUS,43.48%
73,Pavel Kotov,Russian Federation,RUS,42.86%
73,Quentin Halys,France,FRA,42.86%
75,Aleksandar Vukic,Australia,AUS,40.91%
75,Brandon Nakashima,United States,USA,40.91%
75,Gregoire Barrere,France,FRA,40.91%
78,Tomas Martin Etcheverry,Argentina,ARG,40.00%
79,Daniel Evans,United Kingdom,GBR,39.29%
80,Max Purcell,Australia,AUS,38.89%
81,Alexander Shevchenko,Russian Federation,RUS,38.46%
81,Radu Albot,"Moldova, Republic of",MDA,38.46%
83,John Isner,United States,USA,37.50%
83,Marc Andrea Huesler,Switzerland,SUI,37.50%
85,Diego Sebastian Schwartzman,Argentina,ARG,36.84%
86,Jan Lennard Struff,Germany,GER,36.36%
86,Juncheng Shang,China,CHN,36.36%
86,Lloyd George Muirhead Harris,South Africa,RSA,36.36%
89,Ilya Ivashka,Belarus,BLR,35.71%
90,Christopher Oconnell,Australia,AUS,35.29%
91,Arthur Rinderknech,France,FRA,33.33%
92,Mikael Ymer,Sweden,SWE,30.77%
93,Oscar Otte,Germany,GER,30.00%
93,Roberto Carballes Baena,Spain,ESP,30.00%
95,Constant Lestienne,France,FRA,26.67%
96,Nuno Borges,Portugal,POR,25.00%
97,Alexander Bublik,Kazakhstan,KAZ,20.00%
97,Corentin Moutet,France,FRA,20.00%
99,Daniel Altmaier,Germany,GER,16.67%
