Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk
1,Novak Djokovic [SRB],34,41.80%,44.20%,9.40%,3.20%,32.50%,58.10%,30.80%,6.9,2.9,23.5,41.6
13,Alex De Minaur [AUS],51,41.60%,41.40%,5.70%,4.40%,33.90%,53.50%,30.70%,6.6,2.8,40,101.1
2,Carlos Alcaraz [ESP],32,41.20%,41.00%,5.30%,4.10%,32.80%,54.00%,27.90%,7.1,2.9,19.5,38.5
3,Daniil Medvedev [RUS],58,41.00%,41.00%,3.90%,2.70%,32.70%,55.30%,31.40%,6.5,2.7,19.5,35.6
4,Jannik Sinner [ITA],47,40.90%,41.90%,6.90%,3.20%,32.50%,54.70%,29.10%,6.6,2.7,39.5,68.9
28,Alejandro Davidovich Fokina [ESP],35,40.00%,41.30%,8.60%,3.80%,31.30%,53.30%,28.40%,6.4,2.6,36,78.1
42,Mackenzie Mcdonald [USA],43,39.20%,38.90%,6.70%,4.70%,30.40%,54.10%,25.70%,6.7,2.6,49,79
12,Tommy Paul [USA],47,39.10%,39.10%,6.40%,4.10%,30.30%,52.90%,25.50%,6.6,2.6,44,63.4
15,Karen Khachanov [RUS],31,38.60%,40.20%,9.50%,3.70%,30.00%,52.30%,24.80%,6.4,2.5,39,55.7
25,Adrian Mannarino [FRA],41,37.70%,39.60%,10.10%,3.60%,28.40%,52.40%,24.60%,6.3,2.4,66,80.9
18,Cameron Norrie [GBR],30,37.60%,39.20%,8.00%,2.60%,30.50%,49.30%,24.20%,6.3,2.4,60.5,73.3
43,Max Purcell [AUS],28,37.50%,37.90%,8.30%,4.40%,29.00%,49.80%,24.30%,6.4,2.4,56,92.5
37,Daniel Evans [GBR],30,37.40%,39.00%,9.80%,3.60%,30.50%,48.60%,22.10%,6.4,2.4,51,57.7
5,Andrey Rublev [RUS],44,37.20%,38.70%,9.70%,3.70%,28.10%,52.20%,22.60%,6.6,2.5,31.5,40.3
29,Sebastian Baez [ARG],20,37.20%,37.80%,7.70%,3.70%,28.30%,50.80%,23.80%,6.3,2.3,59.5,68.9
21,Francisco Cerundolo [ARG],22,37.20%,37.20%,5.40%,3.30%,28.90%,51.90%,22.60%,6.4,2.4,57,90.3
22,Lorenzo Musetti [ITA],27,37.00%,37.60%,7.70%,3.60%,29.20%,50.20%,22.10%,6.4,2.4,67,122.4
41,Matteo Arnaldi [ITA],34,37.00%,37.50%,7.30%,3.60%,28.80%,50.30%,19.90%,6.4,2.4,89,135.3
27,Jan Lennard Struff [GER],20,36.80%,37.70%,9.70%,4.40%,28.00%,50.80%,22.00%,6.5,2.4,86,118.7
14,Frances Tiafoe [USA],39,36.80%,38.70%,11.00%,3.90%,27.90%,49.60%,23.30%,6.4,2.4,59,120.3
17,Grigor Dimitrov [BUL],34,36.80%,37.80%,8.10%,3.30%,28.90%,49.90%,21.40%,6.5,2.4,30,39.4
10,Taylor Fritz [USA],56,36.70%,37.20%,7.90%,3.90%,26.40%,53.70%,21.20%,6.5,2.4,41,68.4
45,Roman Safiullin [RUS],29,36.70%,37.70%,9.00%,3.80%,28.60%,49.90%,21.80%,6.2,2.3,72,72.8
34,Laslo Djere [SRB],27,36.70%,36.50%,6.70%,4.20%,26.60%,52.70%,22.90%,6.3,2.3,81,100.2
9,Alexander Zverev [GER],42,36.70%,36.90%,6.00%,3.20%,28.70%,49.60%,20.20%,6.6,2.4,47,47.7
26,Ugo Humbert [FRA],38,36.60%,36.60%,6.70%,3.80%,28.00%,50.60%,22.40%,6.3,2.3,40,57.4
40,Andy Murray [GBR],26,36.40%,38.30%,9.10%,2.60%,28.70%,50.90%,18.70%,6.8,2.5,52,80.5
24,Sebastian Korda [USA],32,36.30%,37.20%,8.30%,3.40%,26.50%,51.30%,21.40%,6.4,2.3,35,49.2
31,Tomas Martin Etcheverry [ARG],22,36.10%,36.70%,7.60%,3.50%,27.90%,48.40%,17.90%,6.7,2.4,57.5,111
7,Holger Rune [DEN],31,35.70%,35.30%,7.10%,4.40%,27.50%,48.90%,20.60%,6.3,2.3,51,55.3
49,Yoshihito Nishioka [JPN],29,35.30%,37.90%,13.30%,4.00%,25.70%,51.20%,20.30%,6.3,2.2,56,65.3
36,Arthur Fils [FRA],22,35.30%,35.40%,8.20%,4.30%,25.00%,51.70%,20.20%,6.2,2.2,45,62.5
8,Casper Ruud [NOR],31,35.20%,37.10%,10.40%,3.00%,26.10%,50.10%,18.70%,6.4,2.3,39,61.9
44,Sebastian Ofner [AUT],16,35.20%,35.40%,6.60%,3.40%,26.70%,50.20%,15.60%,6.5,2.3,62,82.7
30,Jiri Lehecka [CZE],43,35.00%,35.60%,7.70%,3.30%,27.40%,47.80%,18.30%,6.2,2.2,50,81.1
11,Hubert Hurkacz [POL],43,35.00%,35.30%,7.00%,3.30%,28.10%,46.30%,17.30%,6.6,2.3,50,57.1
47,Yannick Hanfmann [GER],18,34.80%,35.60%,7.90%,3.20%,28.70%,45.00%,17.50%,6.5,2.3,86,117.8
35,Aslan Karatsev [RUS],28,34.80%,35.80%,8.90%,3.50%,26.80%,48.80%,18.60%,6.4,2.2,60.5,109.8
19,Felix Auger Aliassime [CAN],39,34.60%,34.30%,6.10%,3.70%,28.00%,45.50%,16.80%,6.6,2.3,47,50.9
50,Aleksandar Vukic [AUS],36,34.60%,35.30%,7.70%,3.20%,28.20%,45.70%,18.20%,6.4,2.2,95,123.3
38,Borna Coric [CRO],26,34.50%,35.60%,9.50%,3.50%,27.60%,46.60%,16.90%,6.3,2.2,62.5,70.4
46,Lorenzo Sonego [ITA],37,34.50%,33.60%,3.70%,3.30%,27.50%,47.20%,17.90%,6.2,2.1,36,60
39,Alexei Popyrin [AUS],28,34.00%,34.10%,7.00%,3.50%,26.00%,47.30%,15.40%,6.5,2.2,61,92.8
48,Dusan Lajovic [SRB],22,33.90%,34.80%,10.50%,4.30%,25.30%,48.20%,16.20%,6.3,2.1,54,74
6,Stefanos Tsitsipas [GRE],40,33.50%,34.50%,8.50%,3.00%,24.40%,49.20%,17.90%,6.1,2,40,64
20,Nicolas Jarry [CHI],25,33.40%,33.60%,7.10%,3.20%,26.80%,45.70%,15.90%,6.2,2.1,61,107
23,Tallon Griekspoor [NED],40,33.00%,34.00%,10.00%,3.60%,25.90%,44.80%,13.60%,6.2,2.1,56,78.7
16,Ben Shelton [USA],35,32.60%,32.60%,7.20%,3.40%,25.90%,44.40%,16.50%,6,1.9,60,58.9
33,Alexander Bublik [KAZ],24,32.60%,33.80%,8.90%,2.80%,24.50%,46.40%,14.60%,6.1,2,61,89.8
