Player,Matches,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP/Match,FHP/100,BHP/Match,BHP/100
Daniil Medvedev,74,5,4.5,5.5,53.30%,53.70%,51.60%,53.70%,45.30%,8.40%,9,6.6,6,3.7
Carlos Alcaraz,51,3.9,3.9,3.9,51.40%,56.30%,54.90%,56.20%,51.90%,18.20%,10.1,8.6,2.2,2.3
Jannik Sinner,50,4.3,4.4,4.2,54.10%,53.70%,51.80%,53.40%,51.20%,6.30%,7.3,5.4,1.2,0.9
Hubert Hurkacz,48,3.8,3.5,4.1,53.70%,48.80%,44.40%,46.50%,52.80%,18.30%,2.5,1.8,-3.6,-3.3
Novak Djokovic,42,4.6,4.5,4.7,54.00%,56.90%,53.90%,54.60%,50.20%,16.80%,14.5,8.9,5.1,3.7
Stefanos Tsitsipas,33,3.7,3.5,4,51.60%,48.70%,43.80%,51.40%,53.10%,27.00%,8.5,7.2,-3.5,-4.4
Holger Rune,31,3.9,3.8,3.9,49.10%,51.80%,51.10%,50.20%,55.30%,15.40%,10,7.8,0.5,0.6
Andrey Rublev,29,4,4.2,3.8,49.80%,49.90%,52.90%,51.40%,51.00%,9.60%,12.6,9.7,1.2,1
Casper Ruud,28,4.3,4.3,4.4,51.90%,51.40%,52.10%,45.90%,53.30%,20.10%,11.2,7.9,0.8,0.7
Tommy Paul,22,4.1,4,4.1,48.50%,49.90%,50.50%,55.20%,51.70%,12.70%,6.8,4.9,2.6,2.1
Alexander Zverev,21,4.6,4.5,4.7,49.50%,49.30%,50.50%,46.40%,49.50%,11.20%,4.2,2.6,0.8,0.5
Taylor Fritz,21,4.3,4.3,4.2,50.70%,54.10%,49.30%,46.00%,51.30%,5.60%,9.7,6.3,1.8,1.2
Felix Auger Aliassime,20,3.8,3.6,4,53.80%,47.80%,48.50%,51.70%,55.70%,20.10%,7.8,7.1,-1.8,-2.5
Jiri Lehecka,19,3.8,3.8,3.8,48.40%,52.10%,47.90%,44.10%,55.00%,16.50%,2.4,2.1,-1,-1.2
Tallon Griekspoor,19,3.6,3.4,3.8,49.80%,47.80%,47.20%,50.40%,51.80%,26.10%,8.6,6.8,-1.2,-1.4
Nicolas Jarry,19,3.4,3.4,3.5,52.40%,56.70%,49.80%,57.90%,54.90%,12.10%,11.1,10.2,-0.4,-0.5
Alex De Minaur,19,5.2,5.3,5.1,51.00%,48.60%,48.50%,51.60%,45.40%,13.90%,4.5,2.9,0.2,0.1
Dominic Thiem,18,4.1,4,4.2,51.00%,47.40%,43.60%,51.90%,53.00%,33.00%,3.5,2.6,-2.5,-2.9
Alexander Bublik,17,3.1,2.7,3.5,50.60%,49.50%,48.10%,40.00%,50.40%,21.10%,2.2,3.7,1.6,2.6
Grigor Dimitrov,16,4.5,4.4,4.6,49.90%,47.80%,49.80%,49.10%,52.40%,60.10%,7.8,5.4,-2.4,-4.5
Karen Khachanov,16,4.3,4.6,4,52.70%,47.40%,50.80%,52.90%,48.30%,13.50%,7.9,6.6,3.6,2.9
Botic Van De Zandschulp,16,4.5,4.5,4.6,48.20%,49.60%,47.20%,46.50%,49.20%,18.10%,4.3,2.8,-4.8,-3.5
Lorenzo Musetti,14,4.2,4.4,3.9,47.80%,47.20%,51.00%,44.50%,53.30%,34.70%,5.6,5.1,-0.1,-0.1
Francisco Cerundolo,14,4.4,4.3,4.4,49.50%,53.90%,53.80%,51.20%,51.90%,9.00%,9.6,6.4,2.3,1.7
Sebastian Korda,13,4.1,4.1,4.2,49.40%,48.40%,54.40%,52.60%,47.70%,17.90%,8,5.8,0.6,0.4
Andy Murray,13,4.9,5.1,4.7,49.50%,50.70%,50.00%,50.70%,49.30%,25.20%,7.1,3.7,5.1,3.2
Roberto Bautista Agut,12,5.1,5.5,4.6,51.80%,56.50%,53.30%,49.20%,50.50%,17.80%,16.8,9.6,-0.1,-0.1
Alejandro Davidovich Fokina,12,4.2,4.2,4.3,49.70%,49.40%,51.50%,49.20%,50.20%,12.20%,4.5,3.7,0,0
Jan Lennard Struff,12,3,3,2.9,48.60%,51.90%,52.30%,53.30%,44.90%,10.60%,6.1,9.2,-0.5,-0.6
Stan Wawrinka,11,4,4,4.1,52.90%,45.20%,44.60%,48.30%,48.90%,36.30%,6,4.8,0.2,0.2
Frances Tiafoe,11,3.9,4,3.8,48.50%,54.00%,50.30%,52.10%,46.80%,17.00%,7.5,6.7,2.4,2.1
Ben Shelton,11,3.6,3.4,3.8,51.10%,47.30%,42.90%,50.00%,52.50%,22.00%,6.9,5.8,-2.9,-3.2
Sebastian Baez,11,4.6,4.7,4.5,47.20%,51.30%,57.40%,52.00%,56.30%,14.50%,7.8,5.7,0.5,0.5
Tomas Martin Etcheverry,10,4.8,4.8,4.8,53.40%,44.90%,42.10%,43.90%,55.60%,11.40%,5.7,3.2,-5.4,-4.2
Adrian Mannarino,10,4.6,5.1,4.1,48.70%,51.50%,52.70%,58.10%,56.00%,9.10%,3.8,2.2,6.6,5.2
